DateTime,Open,High,Low,Close,
9/22/2021 12:00:00 +01:00,0.068121,0.068125,0.068002,0.068054,
9/22/2021 12:01:00 +01:00,0.06805,0.068194,0.067985,0.06816,
9/22/2021 12:02:00 +01:00,0.068161,0.068204,0.068132,0.068172,
9/22/2021 12:03:00 +01:00,0.068179,0.068237,0.068134,0.068134,
9/22/2021 12:04:00 +01:00,0.06813,0.068189,0.068072,0.06808,
9/22/2021 12:05:00 +01:00,0.06808,0.06818,0.068,0.068009,
9/22/2021 12:06:00 +01:00,0.068004,0.068023,0.067948,0.067965,
9/22/2021 12:07:00 +01:00,0.067971,0.068146,0.067959,0.068116,
9/22/2021 12:08:00 +01:00,0.068115,0.068142,0.067947,0.068,
9/22/2021 12:09:00 +01:00,0.068001,0.068062,0.067936,0.06797,
9/22/2021 12:10:00 +01:00,0.067973,0.067983,0.067912,0.067925,
9/22/2021 12:11:00 +01:00,0.067926,0.068022,0.067907,0.068022,
9/22/2021 12:12:00 +01:00,0.068016,0.06806,0.067951,0.068023,
9/22/2021 12:13:00 +01:00,0.068023,0.068117,0.067987,0.06802,
9/22/2021 12:14:00 +01:00,0.068014,0.068134,0.067966,0.068058,
9/22/2021 12:15:00 +01:00,0.068074,0.068094,0.067987,0.068058,
9/22/2021 12:16:00 +01:00,0.068061,0.068061,0.06795,0.068001,
9/22/2021 12:17:00 +01:00,0.067988,0.068005,0.067917,0.067941,
9/22/2021 12:18:00 +01:00,0.067956,0.067994,0.067912,0.067923,
9/22/2021 12:19:00 +01:00,0.067922,0.06802,0.067911,0.067925,
9/22/2021 12:20:00 +01:00,0.06793,0.06793,0.067828,0.067858,
9/22/2021 12:21:00 +01:00,0.067857,0.067885,0.067682,0.067692,
9/22/2021 12:22:00 +01:00,0.067688,0.067724,0.067606,0.067678,
9/22/2021 12:23:00 +01:00,0.067678,0.067685,0.06758,0.067581,
9/22/2021 12:24:00 +01:00,0.06758,0.067627,0.06757,0.06757,
9/22/2021 12:25:00 +01:00,0.067573,0.067663,0.067573,0.06765,
9/22/2021 12:26:00 +01:00,0.067645,0.067663,0.067484,0.06751,
9/22/2021 12:27:00 +01:00,0.067491,0.067491,0.0673,0.067389,
9/22/2021 12:28:00 +01:00,0.067328,0.0675,0.067301,0.067468,
9/22/2021 12:29:00 +01:00,0.067476,0.067533,0.06742,0.067506,
9/22/2021 12:30:00 +01:00,0.067521,0.067521,0.067326,0.067343,
9/22/2021 12:31:00 +01:00,0.067339,0.067358,0.067232,0.067337,
9/22/2021 12:32:00 +01:00,0.067313,0.067509,0.067313,0.067485,
9/22/2021 12:33:00 +01:00,0.067476,0.067575,0.067434,0.067571,
9/22/2021 12:34:00 +01:00,0.067565,0.067706,0.067548,0.067673,
9/22/2021 12:35:00 +01:00,0.067663,0.067701,0.067622,0.067656,
9/22/2021 12:36:00 +01:00,0.067656,0.067698,0.067583,0.067583,
9/22/2021 12:37:00 +01:00,0.067581,0.067592,0.067522,0.067567,
9/22/2021 12:38:00 +01:00,0.067574,0.067574,0.067407,0.067461,
9/22/2021 12:39:00 +01:00,0.067463,0.067534,0.067434,0.067516,
9/22/2021 12:40:00 +01:00,0.067518,0.067531,0.067438,0.067445,
9/22/2021 12:41:00 +01:00,0.067447,0.067511,0.067432,0.067493,
9/22/2021 12:42:00 +01:00,0.067492,0.067538,0.067431,0.067487,
9/22/2021 12:43:00 +01:00,0.067482,0.067484,0.067379,0.067413,
9/22/2021 12:44:00 +01:00,0.067413,0.067414,0.0672,0.067201,
9/22/2021 12:45:00 +01:00,0.067201,0.067248,0.067139,0.067185,
9/22/2021 12:46:00 +01:00,0.067186,0.067288,0.067163,0.067189,
9/22/2021 12:47:00 +01:00,0.067175,0.067322,0.067157,0.06732,
9/22/2021 12:48:00 +01:00,0.06732,0.067488,0.067311,0.067479,
9/22/2021 12:49:00 +01:00,0.067479,0.067496,0.067401,0.067421,
9/22/2021 12:50:00 +01:00,0.067421,0.067454,0.067391,0.067431,
9/22/2021 12:51:00 +01:00,0.067426,0.06755,0.067426,0.06754,
9/22/2021 12:52:00 +01:00,0.06754,0.067586,0.067498,0.067586,
9/22/2021 12:53:00 +01:00,0.067587,0.067597,0.067542,0.067563,
9/22/2021 12:54:00 +01:00,0.067564,0.067631,0.067519,0.06763,
9/22/2021 12:55:00 +01:00,0.067612,0.067656,0.067587,0.067655,
9/22/2021 12:56:00 +01:00,0.06765,0.067686,0.067612,0.067632,
9/22/2021 12:57:00 +01:00,0.067637,0.067637,0.06745,0.06745,
9/22/2021 12:58:00 +01:00,0.067471,0.067471,0.0672,0.067213,
9/22/2021 12:59:00 +01:00,0.067222,0.067279,0.067113,0.067245,
9/22/2021 1:00:00 +01:00,0.067253,0.067357,0.067173,0.067318,
9/22/2021 1:01:00 +01:00,0.067318,0.067452,0.067294,0.067452,
9/22/2021 1:02:00 +01:00,0.067452,0.0675,0.067425,0.0675,
9/22/2021 1:03:00 +01:00,0.067503,0.067539,0.067405,0.067469,
9/22/2021 1:04:00 +01:00,0.067438,0.067541,0.067411,0.067541,
9/22/2021 1:05:00 +01:00,0.067516,0.067516,0.067418,0.06742,
9/22/2021 1:06:00 +01:00,0.06742,0.067516,0.06742,0.067473,
9/22/2021 1:07:00 +01:00,0.067479,0.067539,0.067458,0.067512,
9/22/2021 1:08:00 +01:00,0.067487,0.067504,0.067401,0.067401,
9/22/2021 1:09:00 +01:00,0.067408,0.067433,0.067401,0.06743,
9/22/2021 1:10:00 +01:00,0.067431,0.067555,0.067431,0.067504,
9/22/2021 1:11:00 +01:00,0.067493,0.067561,0.06744,0.067475,
9/22/2021 1:12:00 +01:00,0.067478,0.067534,0.067436,0.067498,
9/22/2021 1:13:00 +01:00,0.06749,0.067541,0.067453,0.067491,
9/22/2021 1:14:00 +01:00,0.067497,0.067497,0.067418,0.067448,
9/22/2021 1:15:00 +01:00,0.067449,0.06754,0.067433,0.067474,
9/22/2021 1:16:00 +01:00,0.067475,0.067521,0.06745,0.067499,
9/22/2021 1:17:00 +01:00,0.067502,0.067506,0.06745,0.067497,
9/22/2021 1:18:00 +01:00,0.067506,0.067584,0.067496,0.067584,
9/22/2021 1:19:00 +01:00,0.067583,0.067691,0.06757,0.067691,
9/22/2021 1:20:00 +01:00,0.067692,0.067743,0.067609,0.067614,
9/22/2021 1:21:00 +01:00,0.067615,0.067615,0.067489,0.067501,
9/22/2021 1:22:00 +01:00,0.067523,0.067616,0.06751,0.067572,
9/22/2021 1:23:00 +01:00,0.067569,0.067638,0.067539,0.067638,
9/22/2021 1:24:00 +01:00,0.067638,0.067646,0.067553,0.067594,
9/22/2021 1:25:00 +01:00,0.067571,0.067732,0.067541,0.067718,
9/22/2021 1:26:00 +01:00,0.067719,0.067776,0.067702,0.067773,
9/22/2021 1:27:00 +01:00,0.067768,0.067777,0.067668,0.067672,
9/22/2021 1:28:00 +01:00,0.06767,0.067781,0.067666,0.067773,
9/22/2021 1:29:00 +01:00,0.067773,0.067804,0.067702,0.067702,
9/22/2021 1:30:00 +01:00,0.067692,0.067773,0.06764,0.067658,
9/22/2021 1:31:00 +01:00,0.067677,0.067709,0.06764,0.067694,
9/22/2021 1:32:00 +01:00,0.067678,0.067747,0.067664,0.067688,
9/22/2021 1:33:00 +01:00,0.067694,0.067753,0.067679,0.06773,
9/22/2021 1:34:00 +01:00,0.067747,0.067774,0.06761,0.06766,
9/22/2021 1:35:00 +01:00,0.067634,0.067752,0.067626,0.067751,
9/22/2021 1:36:00 +01:00,0.067746,0.067811,0.067746,0.067808,
9/22/2021 1:37:00 +01:00,0.067793,0.067833,0.067778,0.067782,
9/22/2021 1:38:00 +01:00,0.067779,0.067862,0.067749,0.067826,
9/22/2021 1:39:00 +01:00,0.067842,0.067853,0.067752,0.067752,
9/22/2021 1:40:00 +01:00,0.067741,0.067825,0.067712,0.0678,
9/22/2021 1:41:00 +01:00,0.0678,0.0678,0.067695,0.067731,
9/22/2021 1:42:00 +01:00,0.067708,0.067732,0.067663,0.067686,
9/22/2021 1:43:00 +01:00,0.067677,0.06775,0.067665,0.06767,
9/22/2021 1:44:00 +01:00,0.067663,0.067688,0.067627,0.067663,
9/22/2021 1:45:00 +01:00,0.067645,0.067707,0.067641,0.067707,
9/22/2021 1:46:00 +01:00,0.067706,0.06771,0.067636,0.067666,
9/22/2021 1:47:00 +01:00,0.067669,0.068017,0.067665,0.068001,
9/22/2021 1:48:00 +01:00,0.068013,0.068013,0.067848,0.067848,
9/22/2021 1:49:00 +01:00,0.067847,0.067862,0.067715,0.067737,
9/22/2021 1:50:00 +01:00,0.06776,0.067898,0.067703,0.067898,
9/22/2021 1:51:00 +01:00,0.067891,0.067958,0.06784,0.067927,
